jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|kw_energy_consumption:n,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[10]:window=1000:field=kw_energy_consumption,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[10]:window=1000:field=kw_energy_consumption, 
1001,  1479,  completed,  killed,  2016-02-17 08:15:31,  2016-02-17 08:16:00,  29,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_2.6185723186.modelParams|clParams|alpha_0.0143744982263.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|kw_energy_consumption:n_55.modelParams|sensorParams|encoders|_classifierInput|n_103.modelParams|spParams|synPermInactiveDec_0.0953384886678,  3800,  None,  2.6185723186,  0.0143744982263,  9,  13,  2,  None,  55,  103,  0.0953384886678,  7.86289289873,  22.8001139549, 
1001,  1480,  completed,  killed,  2016-02-17 08:15:54,  2016-02-17 08:16:00,  6,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_2.61948031661.modelParams|clParams|alpha_0.014490046531.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|kw_energy_consumption:n_55.modelParams|sensorParams|encoders|_classifierInput|n_104.modelParams|spParams|synPermInactiveDec_0.0953147016489,  750,  None,  2.61948031661,  0.014490046531,  9,  13,  2,  None,  55,  104,  0.0953147016489,  7.44133594096,  26.763362493, 
1001,  1481,  completed,  killed,  2016-02-17 08:15:57,  2016-02-17 08:16:00,  3,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_2.62367869542.modelParams|clParams|alpha_0.014405470887.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|kw_energy_consumption:n_54.modelParams|sensorParams|encoders|_classifierInput|n_103.modelParams|spParams|synPermInactiveDec_0.0952994307003,  300,  None,  2.62367869542,  0.014405470887,  9,  13,  2,  None,  54,  103,  0.0952994307003,  10.441953267,  37.8001054478, 
1001,  1482,  completed,  killed,  2016-02-17 08:15:59,  2016-02-17 08:16:00,  1,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_2.63937665853.modelParams|clParams|alpha_0.0159127060789.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|kw_energy_consumption:n_69.modelParams|sensorParams|encoders|_classifierInput|n_108.modelParams|spParams|synPermInactiveDec_0.0916091485854,  50,  None,  2.63937665853,  0.0159127060789,  9,  13,  2,  None,  69,  108,  0.0916091485854,  16.3386943,  62.1361258794, 
1001,  1483,  completed,  eof,  2016-02-17 08:16:00,  2016-02-17 08:16:56,  56,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_2.8.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.5.modelParams|sensorParams|encoders|kw_energy_consumption:n_272.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  4391,  None,  2.8,  0.05005,  11,  14,  3,  3.5,  272,  275,  0.05015,  9.95791204981,  28.5300833443, 
1001,  1504,  completed,  eof,  2016-02-17 08:16:00,  2016-02-17 08:16:40,  40,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_2.8.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.0.modelParams|sensorParams|encoders|kw_energy_consumption:n_22.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  4391,  None,  2.8,  0.0001,  9,  12,  1,  1.0,  22,  28,  0.1,  11.694859813,  33.5065547372, 
1001,  1505,  completed,  eof,  2016-02-17 08:16:00,  2016-02-17 08:16:40,  40,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_2.8.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.0.modelParams|sensorParams|encoders|kw_energy_consumption:n_22.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  4391,  None,  2.8,  0.0001,  9,  12,  1,  1.0,  22,  28,  0.1,  11.694859813,  33.5065547372, 
1001,  1516,  completed,  eof,  2016-02-17 08:16:00,  2016-02-17 08:17:34,  94,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_3.95.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_6.0.modelParams|sensorParams|encoders|kw_energy_consumption:n_521.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  4391,  None,  3.95,  0.1,  12,  16,  5,  6.0,  521,  521,  0.0003,  14.9814441702,  42.9228385082, 
1001,  1537,  completed,  eof,  2016-02-17 08:16:00,  2016-02-17 08:17:00,  60,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_2.8.modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_4.75.modelParams|sensorParams|encoders|kw_energy_consumption:n_396.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|spParams|synPermInactiveDec_0.025225,  4391,  None,  2.8,  0.075025,  10,  15,  4,  4.75,  396,  398,  0.025225,  10.4003923467,  29.7978189585, 
1001,  1548,  completed,  eof,  2016-02-17 08:16:40,  2016-02-17 08:17:20,  40,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_2.65625.modelParams|clParams|alpha_0.005095.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.modelParams|sensorParams|encoders|kw_energy_consumption:n_22.modelParams|sensorParams|encoders|_classifierInput|n_53.modelParams|spParams|synPermInactiveDec_0.1,  4391,  None,  2.65625,  0.005095,  9,  12,  1,  1,  22,  53,  0.1,  7.51797594154,  21.5395033737, 
